pass,real_time_seconds,status
Writing JScop '%233---%423' in function '_ZN6embree4sse226HeuristicArrayOpenMergeSAHIZNS0_19BVHNBuilderTwoLevelILi4ENS_12TriangleMeshENS_10TriangleMiILi4EEEE5buildEvEUlRNS6_8BuildRefEPS7_E_S7_Lm32EE22sequential_object_findERKNS0_16PrimInfoExtRangeEm' to './_ZN6embree4sse226HeuristicArrayOpenMergeSAHIZNS0_19BVHNBuilderTwoLevelILi4ENS_12TriangleMeshENS_10TriangleMiILi4EEEE5buildEvEUlRNS6_8BuildRefEPS7_E_S7_Lm32EE22sequential_object_findERKNS0_16PrimInfoExtRangeEm___%233---%423.jscop'.

Writing JScop '%178---%239' in function '_ZN6embree4sse226HeuristicArrayOpenMergeSAHIZNS0_19BVHNBuilderTwoLevelILi4ENS_12TriangleMeshENS_10TriangleMiILi4EEEE5buildEvEUlRNS6_8BuildRefEPS7_E_S7_Lm32EE20parallel_object_findERKNS0_16PrimInfoExtRangeEm' to './_ZN6embree4sse226HeuristicArrayOpenMergeSAHIZNS0_19BVHNBuilderTwoLevelILi4ENS_12TriangleMeshENS_10TriangleMiILi4EEEE5buildEvEUlRNS6_8BuildRefEPS7_E_S7_Lm32EE20parallel_object_findERKNS0_16PrimInfoExtRangeEm___%178---%239.jscop'.

Writing JScop '%454---%511' in function '_ZN6embree4sse224HeuristicArraySpatialSAHIZNS0_21rtcBuildBVHSpatialSAHEPK17RTCBuildArgumentsE4$_19NS_7PrimRefELm32ELm16EE22sequential_object_findERKNS0_16PrimInfoExtRangeEmRNS0_10SplitInfoTINS_4BBoxINS_6Vec3faEEEEE' to './_ZN6embree4sse224HeuristicArraySpatialSAHIZNS0_21rtcBuildBVHSpatialSAHEPK17RTCBuildArgumentsE4$_19NS_7PrimRefELm32ELm16EE22sequential_object_findERKNS0_16PrimInfoExtRangeEmRNS0_10SplitInfoTINS_4BBoxINS_6Vec3faEEEEE___%454---%511.jscop'.

Writing JScop '%251---%312' in function '_ZN6embree4sse224HeuristicArraySpatialSAHIZNS0_21rtcBuildBVHSpatialSAHEPK17RTCBuildArgumentsE4$_19NS_7PrimRefELm32ELm16EE22sequential_object_findERKNS0_16PrimInfoExtRangeEmRNS0_10SplitInfoTINS_4BBoxINS_6Vec3faEEEEE' to './_ZN6embree4sse224HeuristicArraySpatialSAHIZNS0_21rtcBuildBVHSpatialSAHEPK17RTCBuildArgumentsE4$_19NS_7PrimRefELm32ELm16EE22sequential_object_findERKNS0_16PrimInfoExtRangeEmRNS0_10SplitInfoTINS_4BBoxINS_6Vec3faEEEEE___%251---%312.jscop'.

Writing JScop '%394---%451' in function '_ZN6embree4sse224HeuristicArraySpatialSAHIZNS0_21rtcBuildBVHSpatialSAHEPK17RTCBuildArgumentsE4$_19NS_7PrimRefELm32ELm16EE20parallel_object_findERKNS0_16PrimInfoExtRangeEmRNS0_10SplitInfoTINS_4BBoxINS_6Vec3faEEEEE' to './_ZN6embree4sse224HeuristicArraySpatialSAHIZNS0_21rtcBuildBVHSpatialSAHEPK17RTCBuildArgumentsE4$_19NS_7PrimRefELm32ELm16EE20parallel_object_findERKNS0_16PrimInfoExtRangeEmRNS0_10SplitInfoTINS_4BBoxINS_6Vec3faEEEEE___%394---%451.jscop'.

Writing JScop '%187---%248' in function '_ZN6embree4sse224HeuristicArraySpatialSAHIZNS0_21rtcBuildBVHSpatialSAHEPK17RTCBuildArgumentsE4$_19NS_7PrimRefELm32ELm16EE20parallel_object_findERKNS0_16PrimInfoExtRangeEmRNS0_10SplitInfoTINS_4BBoxINS_6Vec3faEEEEE' to './_ZN6embree4sse224HeuristicArraySpatialSAHIZNS0_21rtcBuildBVHSpatialSAHEPK17RTCBuildArgumentsE4$_19NS_7PrimRefELm32ELm16EE20parallel_object_findERKNS0_16PrimInfoExtRangeEmRNS0_10SplitInfoTINS_4BBoxINS_6Vec3faEEEEE___%187---%248.jscop'.

99.01,ok
polly_flatten_schedule,96.00,ok
polly_function_dependences,90.71,ok
polly_function_scops,89.61,ok
polly_import_jscop,,error
polly_mse,,error
polly_opt_isl,90.67,ok
polly_optree,94.13,ok
polly_prepare,52.98,ok
polly_print_ast,98.28,ok
polly_print_delicm,92.99,ok
polly_print_dependences,96.31,ok
polly_print_detect,77.37,ok
polly_print_flatten_schedule,93.25,ok
polly_print_function_dependences,95.22,ok
polly_print_function_scops,102.85,ok
polly_print_import_jscop,,error
polly_print_opt_isl,94.80,ok
polly_print_optree,179.27,ok
polly_print_scops,300,timeout
polly_print_simplify,93.28,ok
polly_prune_unprofitable,90.79,ok
polly_scop_inliner,,error
polly_scops,88.86,ok
polly_simplify,91.79,ok
polyhedral_info,89.67,ok
postdomtree,51.77,ok
pre_amx_config,51.17,ok
pre_isel_intrinsic_lowering,50.34,ok
print_alias_sets,300,timeout
print_callgraph,Call graph node <<null function>><<0x560189cd3a70>>  #uses=0
  CS<None> calls function '_ZN6Engine28set_physics_ticks_per_secondEi'
  ...
69.49,ok
print_callgraph_sccs,,error
print_cfg_sccs,,error
print_dom_info,,error
print_externalfnconstants,,error
print_function,,error
print_lazy_value_info,,error
print_memdeps,,error
print_memderefs,300,timeout
print_memoryssa,,error
print_module,,error
print_must_be_executed_contexts,300,timeout
print_mustexecute,300,timeout
print_polyhedral_info,94.35,ok
print_predicateinfo,300,timeout
profile_summary_info,,error
prune_eh,,error
pseudo_probe_inserter,,error
reaching_deps_analysis,,error
reassociate,55.99,ok
redundant_dbg_inst_elim,52.24,ok
reg2mem,74.63,ok
regbankselect,,error
regions,54.50,ok
replace_with_veclib,51.40,ok
rewrite_statepoints_for_gc,50.43,ok
rewrite_symbols,50.54,ok
rpo_function_attrs,51.47,ok
safe_stack,50.67,ok
scalar_evolution,54.93,ok
scalarize_masked_mem_intrin,51.06,ok
scalarizer,57.42,ok
sccp,56.90,ok
scev_aa,56.27,ok
scoped_noalias_aa,50.61,ok
select_optimize,56.30,ok
separate_const_offset_from_gep,59.96,ok
simple_loop_unswitch,61.25,ok
simplifycfg,57.14,ok
sink,59.13,ok
sjljehprepare,51.01,ok
slp_vectorizer,65.34,ok
slsr,66.93,ok
speculative_execution,54.94,ok
sroa,59.20,ok
stack_protector,,error
stack_safety,50.54,ok
stack_safety_local,50.75,ok
strip,51.00,ok
strip_dead_debug_info,50.85,ok
strip_dead_prototypes,50.37,ok
strip_debug_declare,50.60,ok
strip_gc_relocates,51.15,ok
strip_nondebug,50.83,ok
strip_nonlinetable_debuginfo,50.67,ok
structurizecfg,233.48,ok
tailcallelim,57.76,ok
targetlibinfo,50.65,ok
targetpassconfig,,error
tbaa,50.47,ok
tileconfig,,error
tilepreconfig,,error
tlshoist,52.07,ok
transform_warning,warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
warning: <unknown>:0:0: loop not unrolled: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering
52.60,ok
tti,,error
type_promotion,50.68,ok
unify_loop_exits,,error
unreachableblockelim,50.96,ok
vector_combine,58.72,ok
verify,50.46,ok
verify_safepoint_ir,53.05,ok
view_callgraph,300,timeout
view_cfg,300,timeout
view_cfg_only,300,timeout
view_dom,300,timeout
view_dom_only,300,timeout
view_postdom,,error
view_postdom_only,,error
view_regions,300,timeout
view_regions_only,300,timeout
view_scops,,error
view_scops_only,,error
virtregmap,,error
wasmehprepare,56.33,ok
winehprepare,51.22,ok
write_bitcode,,error
x86_avoid_,,error
x86_avoid_trailing_call,,error
x86_cf_opt,,error
x86_cmov_conversion,,error
x86_codegen,,error
x86_domain_reassignment,,error
x86_evex_to_vex_compress,,error
x86_execution_domain_fix,,error
x86_fixup_,,error
x86_fixup_bw_insts,,error
x86_fixup_setcc,,error
x86_flags_copy_lowering,,error
x86_lvi_load,,error
x86_lvi_ret,,error
x86_optimize_,,error
x86_partial_reduction,50.87,ok
x86_pseudo,,error
x86_return_thunks,,error
x86_seses,,error
x86_slh,,error
x86_winehstate,50.83,ok
